ccode1,country,year,IdealPointDistance
345,CHN,2018,0.8715405
346,RUS,2018,0.6368426
346,CHN,2018,1.234246
349,RUS,2018,0.9319162
349,CHN,2018,1.5293196
350,RUS,2018,0.7736788
350,CHN,2018,1.3710822
352,RUS,2018,0.5424279
352,CHN,2018,1.1398313
355,RUS,2018,0.8942077
355,CHN,2018,1.4916111
359,RUS,2018,0.6433519
359,CHN,2018,1.2407553
360,RUS,2018,0.9869282
360,CHN,2018,1.5843316
365,CHN,2018,0.5974034
366,RUS,2018,1.0393992
366,CHN,2018,1.6368026
367,RUS,2018,1.0856012
367,CHN,2018,1.6830046
368,RUS,2018,1.1099222
368,CHN,2018,1.7073256
369,RUS,2018,0.9757672
369,CHN,2018,1.5731706
370,RUS,2018,0.361114
370,CHN,2018,0.2362894
371,RUS,2018,0.0630671
371,CHN,2018,0.6604705
372,RUS,2018,0.7892723
372,CHN,2018,1.3866757
373,RUS,2018,0.8051436
373,CHN,2018,0.2077402
375,RUS,2018,0.8077022
375,CHN,2018,1.4051056
380,RUS,2018,0.7431735
380,CHN,2018,1.3405769
385,RUS,2018,0.8296258
385,CHN,2018,1.4270292
390,RUS,2018,1.0234012
390,CHN,2018,1.6208046
395,RUS,2018,0.7830022
395,CHN,2018,1.3804056
402,RUS,2018,0.5232443
402,CHN,2018,0.0741591
403,RUS,2018,0.3963914
403,CHN,2018,0.201012
404,RUS,2018,0.5699357
404,CHN,2018,0.0274677
411,RUS,2018,0.4668672
411,CHN,2018,0.1305362
420,RUS,2018,0.5693294
420,CHN,2018,0.028074000000000002
432,RUS,2018,0.373319
432,CHN,2018,0.2240844
433,RUS,2018,0.4421656
433,CHN,2018,0.1552378
434,RUS,2018,0.555499
434,CHN,2018,0.0419044
435,RUS,2018,0.8299569
435,CHN,2018,0.2325535
436,RUS,2018,0.8239598
436,CHN,2018,0.2265564
437,RUS,2018,0.15861193
437,CHN,2018,0.43879147
438,RUS,2018,0.7765938
438,CHN,2018,0.1791904
439,RUS,2018,0.6577942
439,CHN,2018,0.0603908
450,RUS,2018,0.0629835
450,CHN,2018,0.6603869
451,RUS,2018,0.6890028
451,CHN,2018,0.0915994
452,RUS,2018,0.2738735
452,CHN,2018,0.3235299
461,RUS,2018,0.12298201
461,CHN,2018,0.47442139
471,RUS,2018,0.14178871
471,CHN,2018,0.45561469
475,RUS,2018,0.5296769
475,CHN,2018,0.0677265
481,RUS,2018,0.4135445
481,CHN,2018,0.1838589
482,RUS,2018,0.237497
482,CHN,2018,0.3599064
483,RUS,2018,0.8039191
483,CHN,2018,0.2065157
484,RUS,2018,0.7124491
484,CHN,2018,0.1150457
490,RUS,2018,0.3466501
490,CHN,2018,0.2507533
500,RUS,2018,1.0523437
500,CHN,2018,0.4549403
501,RUS,2018,0.8657459
501,CHN,2018,0.2683425
510,RUS,2018,0.8899557
510,CHN,2018,0.2925523
516,RUS,2018,1.2247888
516,CHN,2018,0.6273854
517,RUS,2018,0.12346875
517,CHN,2018,0.47393465
520,RUS,2018,0.6211585
520,CHN,2018,0.0237551
522,RUS,2018,0.4659469
522,CHN,2018,0.1314565
530,RUS,2018,0.5109757
530,CHN,2018,0.0864277
531,RUS,2018,0.8403751
531,CHN,2018,0.2429717
540,RUS,2018,0.6869795
540,CHN,2018,0.0895760999999999
541,RUS,2018,0.7379959
541,CHN,2018,0.1405925
551,RUS,2018,0.7777415
551,CHN,2018,0.1803381
552,RUS,2018,1.5302468
552,CHN,2018,0.9328434
553,RUS,2018,0.4239439
553,CHN,2018,0.1734595
560,RUS,2018,0.5330114
560,CHN,2018,0.064392
565,RUS,2018,0.7562176
565,CHN,2018,0.1588142
570,RUS,2018,0.5083206
570,CHN,2018,0.0890828
571,RUS,2018,0.4273407
571,CHN,2018,0.1700627
572,RUS,2018,0.2192747
572,CHN,2018,0.3781287
580,RUS,2018,0.7681897
580,CHN,2018,0.1707863
581,RUS,2018,0.8544065
581,CHN,2018,0.2570031
590,RUS,2018,0.5674051
590,CHN,2018,0.0299983
591,RUS,2018,0.5809467
591,CHN,2018,0.0164567
600,RUS,2018,0.547446
600,CHN,2018,0.0499574
615,RUS,2018,1.0905542
615,CHN,2018,0.4931508
616,RUS,2018,0.6564558
616,CHN,2018,0.0590524
620,RUS,2018,0.686986
620,CHN,2018,0.0895826
625,RUS,2018,1.2410618
