reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,imp_rank_hs2_5yr
ago,Angola,rus,Russian Federation,11,Textile and textile articles,56,8705,462,79,71
ago,Angola,rus,Russian Federation,05,Mineral products,25,108371,1137,91,83
ago,Angola,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",92,327,1549,85,57
ago,Angola,rus,Russian Federation,15,Base metals and articles of base metal,81,0,5519,79,51
arg,Argentina,rus,Russian Federation,05,Mineral products,27,647653515,0,62,91
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,31,683984274,0,13,51
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,72,58130724,178511,73,60
arg,Argentina,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,52856758,500829,44,60
arg,Argentina,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,13875137,8506864,48,56
arg,Argentina,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,24594991,22651876,55,58
arg,Argentina,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,27713400,14078,58,77
arg,Argentina,rus,Russian Federation,05,Mineral products,25,21109234,197520,27,58
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,29,22145847,3716687,41,49
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,28,31446994,898622,51,58
arg,Argentina,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,21081055,2158987,58,63
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,34,6795761,60966,28,65
arg,Argentina,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,8928565,1460397,50,64
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,76,6690237,6737,70,75
arg,Argentina,rus,Russian Federation,02,Vegetable products,07,319199,16048811,74,21
arg,Argentina,rus,Russian Federation,02,Vegetable products,11,926010,93948,46,40
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,73,5437422,2564906,57,59
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,75,4104769,79,35,49
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,38,6662425,1126153,44,59
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,82,532824,167286,71,64
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,81,539908,0,50,59
arg,Argentina,rus,Russian Federation,18,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",90,5652506,2631866,62,62
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",22,726814,45936889,70,27
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,32,822835,1718603,53,54
arg,Argentina,rus,Russian Federation,20,Miscellaneous manufactured articles,95,48179,0,75,91
arg,Argentina,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,1319506,0,91,103
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,33,136738,9571,91,82
arg,Argentina,rus,Russian Federation,20,Miscellaneous manufactured articles,94,986767,111095,58,71
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,74,33564,3451,77,74
arg,Argentina,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,330910,119,73,85
arg,Argentina,rus,Russian Federation,02,Vegetable products,12,3251,147476824,87,12
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,83,115550,348,60,78
arg,Argentina,rus,Russian Federation,11,Textile and textile articles,56,3156875,45,29,75
arg,Argentina,rus,Russian Federation,99,NA,99,3220,286454469,108,14
arg,Argentina,rus,Russian Federation,15,Base metals and articles of base metal,78,4138,3,65,43
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,35,7592,13285100,66,28
arg,Argentina,rus,Russian Federation,05,Mineral products,26,481832,0,44,66
arg,Argentina,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",49,8495,6018,96,71
arg,Argentina,rus,Russian Federation,20,Miscellaneous manufactured articles,96,31348,12116,68,70
arg,Argentina,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",68,37968,24914,92,70
arg,Argentina,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",69,280448,37,48,87
arg,Argentina,rus,Russian Federation,12,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",65,0,50,105,80
arg,Argentina,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",42,2077,60,89,94
arg,Argentina,rus,Russian Federation,11,Textile and textile articles,63,173,299,122,101
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",21,105867,186030,90,72
arg,Argentina,rus,Russian Federation,01,Live animals and animal products,04,0,481757576,75,3
arg,Argentina,rus,Russian Federation,01,Live animals and animal products,05,0,11068352,74,10
arg,Argentina,rus,Russian Federation,02,Vegetable products,08,0,666838248,74,8
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",17,22,507042,116,53
arg,Argentina,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,15,0,4951715,110,32
arg,Argentina,rus,Russian Federation,01,Live animals and animal products,02,0,843216564,61,4
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",20,0,107286454,88,11
arg,Argentina,rus,Russian Federation,02,Vegetable products,09,0,10864371,105,36
arg,Argentina,rus,Russian Federation,01,Live animals and animal products,03,0,292554362,108,9
arg,Argentina,rus,Russian Federation,06,Product of the chemicals or allied industries,30,3294042,6884417,44,49
arg,Argentina,rus,Russian Federation,02,Vegetable products,10,0,783178,126,38
arg,Argentina,rus,Russian Federation,08,"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",43,0,1339930,60,20
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",23,64667,2190000,72,41
arg,Argentina,rus,Russian Federation,04,"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",24,3248,30114158,79,16
arm,Armenia,rus,Russian Federation,05,Mineral products,27,2459244297,4315122,42,45
arm,Armenia,rus,Russian Federation,02,Vegetable products,10,366423090,5745,19,53
